File: main
Type: cpu
Time: Feb 12, 2025 at 1:22pm (+08)
Duration: 60.05s, Total samples = 220ms ( 0.37%)
Showing nodes accounting for 220ms, 100% of 220ms total
      flat  flat%   sum%        cum   cum%
      70ms 31.82% 31.82%       70ms 31.82%  runtime/internal/syscall.Syscall6
      30ms 13.64% 45.45%       50ms 22.73%  runtime.scanobject
      10ms  4.55% 50.00%       10ms  4.55%  aeshashbody
      10ms  4.55% 54.55%       10ms  4.55%  runtime.(*mspan).refillAllocCache
      10ms  4.55% 59.09%       20ms  9.09%  runtime.(*unwinder).resolveInternal
      10ms  4.55% 63.64%       10ms  4.55%  runtime.SetFinalizer
      10ms  4.55% 68.18%       20ms  9.09%  runtime.blockevent
      10ms  4.55% 72.73%       10ms  4.55%  runtime.findObject
      10ms  4.55% 77.27%       10ms  4.55%  runtime.findfunc
      10ms  4.55% 81.82%       10ms  4.55%  runtime.heapBitsForAddr
      10ms  4.55% 86.36%       50ms 22.73%  runtime.mallocgc
      10ms  4.55% 90.91%       10ms  4.55%  runtime.memclrNoHeapPointers
      10ms  4.55% 95.45%       10ms  4.55%  runtime.pcvalue
      10ms  4.55%   100%       10ms  4.55%  runtime.scanblock
         0     0%   100%       20ms  9.09%  bufio.(*Reader).Peek
         0     0%   100%       20ms  9.09%  bufio.(*Reader).fill
         0     0%   100%       10ms  4.55%  bytes.(*Buffer).ReadFrom
         0     0%   100%       10ms  4.55%  bytes.(*Buffer).grow
         0     0%   100%       10ms  4.55%  bytes.growSlice
         0     0%   100%      120ms 54.55%  github.com/gin-gonic/gin.(*Context).Next (partial-inline)
         0     0%   100%      120ms 54.55%  github.com/gin-gonic/gin.(*Engine).ServeHTTP
         0     0%   100%      120ms 54.55%  github.com/gin-gonic/gin.(*Engine).handleHTTPRequest
         0     0%   100%      120ms 54.55%  github.com/gin-gonic/gin.CustomRecoveryWithWriter.func1
         0     0%   100%       20ms  9.09%  github.com/prometheus/client_golang/prometheus.(*Registry).Gather
         0     0%   100%       20ms  9.09%  github.com/prometheus/client_golang/prometheus.(*noTransactionGatherer).Gather
         0     0%   100%       20ms  9.09%  github.com/prometheus/client_golang/prometheus.processMetric
         0     0%   100%       20ms  9.09%  github.com/prometheus/client_golang/prometheus/promhttp.HandlerForTransactional.func1
         0     0%   100%       20ms  9.09%  github.com/prometheus/client_golang/prometheus/promhttp.InstrumentHandlerCounter.func1
         0     0%   100%       20ms  9.09%  github.com/prometheus/client_golang/prometheus/promhttp.InstrumentMetricHandler.InstrumentHandlerInFlight.func1
         0     0%   100%       10ms  4.55%  go.uber.org/zap.(*Logger).Info
         0     0%   100%       10ms  4.55%  go.uber.org/zap/zapcore.(*CheckedEntry).Write
         0     0%   100%       10ms  4.55%  go.uber.org/zap/zapcore.(*ioCore).Write
         0     0%   100%       10ms  4.55%  go.uber.org/zap/zapcore.(*lockedWriteSyncer).Write
         0     0%   100%       20ms  9.09%  internal/poll.(*FD).Read
         0     0%   100%       10ms  4.55%  internal/poll.(*FD).Write
         0     0%   100%       10ms  4.55%  internal/poll.CopyFileRange
         0     0%   100%       10ms  4.55%  internal/poll.copyFileRange
