File: main
Type: goroutine
Time: Feb 12, 2025 at 1:23pm (+08)
Showing nodes accounting for 44, 97.78% of 45 total
      flat  flat%   sum%        cum   cum%
        37 82.22% 82.22%         37 82.22%  runtime.gopark
         5 11.11% 93.33%          5 11.11%  syscall.Syscall6
         1  2.22% 95.56%          1  2.22%  runtime.goroutineProfileWithLabels
         1  2.22% 97.78%          1  2.22%  runtime.notetsleepg
         0     0% 97.78%          7 15.56%  bufio.(*Reader).Peek
         0     0% 97.78%          1  2.22%  bufio.(*Reader).Read
         0     0% 97.78%          7 15.56%  bufio.(*Reader).fill
         0     0% 97.78%          5 11.11%  bytes.(*Buffer).ReadFrom
         0     0% 97.78%          5 11.11%  github.com/gin-gonic/gin.(*Context).Next (partial-inline)
         0     0% 97.78%          5 11.11%  github.com/gin-gonic/gin.(*Engine).ServeHTTP
         0     0% 97.78%          5 11.11%  github.com/gin-gonic/gin.(*Engine).handleHTTPRequest
         0     0% 97.78%          5 11.11%  github.com/gin-gonic/gin.CustomRecoveryWithWriter.func1
         0     0% 97.78%          1  2.22%  go.opentelemetry.io/otel/sdk/trace.(*batchSpanProcessor).processQueue
         0     0% 97.78%          1  2.22%  go.opentelemetry.io/otel/sdk/trace.NewBatchSpanProcessor.func1
         0     0% 97.78%          1  2.22%  golang.org/x/net/http2.(*Framer).ReadFrame
         0     0% 97.78%          1  2.22%  golang.org/x/net/http2.readFrameHeader
         0     0% 97.78%          3  6.67%  google.golang.org/grpc/internal/grpcsync.(*CallbackSerializer).run
         0     0% 97.78%          1  2.22%  google.golang.org/grpc/internal/transport.(*controlBuffer).get
         0     0% 97.78%          1  2.22%  google.golang.org/grpc/internal/transport.(*http2Client).reader
         0     0% 97.78%          1  2.22%  google.golang.org/grpc/internal/transport.(*loopyWriter).run
         0     0% 97.78%          1  2.22%  google.golang.org/grpc/internal/transport.newHTTP2Client.func6
         0     0% 97.78%          2  4.44%  internal/poll.(*FD).Accept
         0     0% 97.78%         18 40.00%  internal/poll.(*FD).Read
         0     0% 97.78%         20 44.44%  internal/poll.(*pollDesc).wait
         0     0% 97.78%         20 44.44%  internal/poll.(*pollDesc).waitRead (inline)
         0     0% 97.78%         20 44.44%  internal/poll.runtime_pollWait
         0     0% 97.78%          5 11.11%  io.Copy (inline)
         0     0% 97.78%          1  2.22%  io.ReadAtLeast
         0     0% 97.78%          1  2.22%  io.ReadFull (inline)
         0     0% 97.78%          5 11.11%  io.copyBuffer
         0     0% 97.78%          1  2.22%  main.main
         0     0% 97.78%          1  2.22%  main.main.func2
         0     0% 97.78%          2  4.44%  net.(*TCPListener).Accept
         0     0% 97.78%          2  4.44%  net.(*TCPListener).accept
